"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Herrera-Acevedo D.D.; Sierra-Porta D.","Herrera-Acevedo, D.D. (59278790000); Sierra-Porta, D. (57191333650)","59278790000; 57191333650","Network structure and urban mobility sustainability: A topological analysis of cities from the urban mobility readiness index","2025","Sustainable Cities and Society","119","","106076","","","","3","10.1016/j.scs.2024.106076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213079490&doi=10.1016%2fj.scs.2024.106076&partnerID=40&md5=407e07c3861dd9acf804495b71f066ca","Article","Final","","Scopus","2-s2.0-85213079490"
"Geney E.R.; Vázquez-Miraz P.","Geney, Elías Rafael (57427876200); Vázquez-Miraz, Pedro (57196040759)","57427876200; 57196040759","Interpersonal values associated with unfaithful behavior of higher education students in Cartagena de Indias; [Valeurs interpersonnelles associées au comportement infidèle d’étudiants de l’enseignement supérieur à Carthagène des Indes]; [Valores interpessoais associados ao comportamento infiel de estudantes de ensino superior em Cartagena das Índias]; [Valores interpersonales asociados con la conducta infiel de estudiantes de educación superior en Cartagena de Indias]","2025","Revista de Psicologia (Peru)","43","1","","438","459","21","0","10.18800/psico.202501.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212831235&doi=10.18800%2fpsico.202501.015&partnerID=40&md5=7f940334e8be6966ae9a26ff245ae6a9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85212831235"
"Medina-Reyes M.F.; Fajardo-Cuadro J.G.; Martínez-Santos J.C.","Medina-Reyes, María Fernanda (57221229836); Fajardo-Cuadro, Juan Gabriel (56581610900); Martínez-Santos, Juan Carlos (26325154200)","57221229836; 56581610900; 26325154200","DRIVING THE DEVELOPMENT OF ENERGY COMMUNITIES IN COLOMBIA: CHALLENGES AND OPPORTUNITIES FOR A DECENTRALIZED ENERGY TRANSITION; [ESTÍMULO AO DESENVOLVIMENTO DE COMUNIDADES ENERGÉTICAS NA COLÔMBIA: DESAFIOS E OPORTUNIDADES PARA UMA TRANSIÇÃO ENERGÉTICA DESCENTRALIZADA]; [IMPULSANDO COMUNIDADES ENERGÉTICAS EN COLOMBIA: RETOS Y OPORTUNIDADES PARA UNA TRANSICIÓN ENERGÉTICA DESCENTRALIZADA]","2025","Habitat Sustentable","15","1","","10","19","9","0","10.22320/07190700.2025.15.01.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010266217&doi=10.22320%2f07190700.2025.15.01.01&partnerID=40&md5=451e6fcc3f94c5d70e39788e418be681","Article","Final","","Scopus","2-s2.0-105010266217"
"Mothes C.; Mellado C.; Boudana S.; Himma M.; Nolan D.; McIntyre K.; Kozman C.; Hallin D.C.; Amiel P.; Brin C.; Katherine Chen Y.-N.; Davydov S.; De Maio M.; Dingerkus F.; El-Ibiary R.; Frías Vázquez M.; Glück A.; Garcés-Prettel M.; Luisa Humanes M.; Lecheler S.; Lee M.; I-Hsuan Lin C.; Márquez-Ramírez M.; Maza-Córdova J.; Mazzoni M.; Mick J.; Milojevic A.; Navarro C.; Olivera Pérez D.; Pizarro M.; Quinn F.; Sarasqueta G.; Skjerdal T.; Stępińska A.; Szabó G.; Van Leuven S.","Mothes, Cornelia (56600541200); Mellado, Claudia (24504020400); Boudana, Sandrine (36095923800); Himma, Marju (58839009700); Nolan, David (7103352200); McIntyre, Karen (57189991616); Kozman, Claudia (57193141636); Hallin, Daniel C. (7801380370); Amiel, Pauline (57206723562); Brin, Colette (36442305400); Katherine Chen, Yi-Ning (57204428377); Davydov, Sergey (40461202600); De Maio, Mariana (57156173100); Dingerkus, Filip (57193154867); El-Ibiary, Rasha (54779725000); Frías Vázquez, Maximiliano (57211939466); Glück, Antje (57189074192); Garcés-Prettel, Miguel (57193012270); Luisa Humanes, María (59182671600); Lecheler, Sophie (26036187400); Lee, Misook (57200427121); I-Hsuan Lin, Christi (57226167390); Márquez-Ramírez, Mireya (57193011223); Maza-Córdova, Jorge (57201524040); Mazzoni, Marco (55763033200); Mick, Jacques (57195683569); Milojevic, Ana (55857868600); Navarro, Cristina (56372571900); Olivera Pérez, Dasniel (57195678713); Pizarro, Marcela (57223089108); Quinn, Fergal (57205486045); Sarasqueta, Gonzalo (57221460707); Skjerdal, Terje (35249359100); Stępińska, Agnieszka (55445081400); Szabó, Gabriella (43461961100); Van Leuven, Sarah (41662325600)","56600541200; 24504020400; 36095923800; 58839009700; 7103352200; 57189991616; 57193141636; 7801380370; 57206723562; 36442305400; 57204428377; 40461202600; 57156173100; 57193154867; 54779725000; 57211939466; 57189074192; 57193012270; 59182671600; 26036187400; 57200427121; 57226167390; 57193011223; 57201524040; 55763033200; 57195683569; 55857868600; 56372571900; 57195678713; 57223089108; 57205486045; 57221460707; 35249359100; 55445081400; 43461961100; 41662325600","Spurring or Blurring Professional Standards? The Role of Digital Technology in Implementing Journalistic Role Ideals in Contemporary Newsrooms","2025","Journalism and Mass Communication Quarterly","102","1","","88","119","31","5","10.1177/10776990241246692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196638440&doi=10.1177%2f10776990241246692&partnerID=40&md5=a90be9729c0e3dcc091e010846710393","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85196638440"
"Rubio-León D.C.; Cano-Sierra L.; Reyes-Rivera M.-J.; Forero-García S.L.; García-Padilla D.; Abitbol P.; López-López W.","Rubio-León, Diana Carolina (56491243500); Cano-Sierra, Laura (59360499800); Reyes-Rivera, María-Juliana (59361500800); Forero-García, Sara Lucia (59360833800); García-Padilla, Dennys (58145290800); Abitbol, Pablo (58145499200); López-López, Wilson (58547918000)","56491243500; 59360499800; 59361500800; 59360833800; 58145290800; 58145499200; 58547918000","“The professionals weren’t from here”: provision of mental health services in the context of the Colombian armed conflict","2025","Archives of Public Health","83","1","123","","","","0","10.1186/s13690-025-01561-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004426668&doi=10.1186%2fs13690-025-01561-z&partnerID=40&md5=cdf520600b1526dcacc36ffe614db0ee","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105004426668"
"Canchila-Agámez J.; García-Cardona S.; Viloria-Nuñez C.; Nuñez-Ramos J.A.; Rivas-Lalaleo D.","Canchila-Agámez, José (59911907000); García-Cardona, Santiago (59911524400); Viloria-Nuñez, Cesar (35788581800); Nuñez-Ramos, Jose Atilio (57194691936); Rivas-Lalaleo, David (57200511539)","59911907000; 59911524400; 35788581800; 57194691936; 57200511539","PROPOSED ARCHITECTURE FOR A PATIENT MANAGEMENT AND CLASSIFICATION SYSTEM IN THE TRIAGE PROCESS","2025","IET Conference Proceedings","2025","4","","127","132","5","0","10.1049/icp.2025.1256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005954971&doi=10.1049%2ficp.2025.1256&partnerID=40&md5=183e8da9dd86373e2b5f12ef0cb2182c","Conference paper","Final","","Scopus","2-s2.0-105005954971"
"Salas-Navarro K.; Castro-García L.; Assan-Barrios K.; Vergara-Bujato K.; Zamora-Musa R.","Salas-Navarro, Katherinne (57193504630); Castro-García, Lia (59216996300); Assan-Barrios, Karolay (59217146200); Vergara-Bujato, Karen (59217146300); Zamora-Musa, Ronald (57192389508)","57193504630; 59216996300; 59217146200; 59217146300; 57192389508","Reverse Logistics and Sustainability: A Bibliometric Analysis","2024","Sustainability (Switzerland) ","16","13","5279","","","","5","10.3390/su16135279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198421581&doi=10.3390%2fsu16135279&partnerID=40&md5=335606f9513fd89ce4d4778b0fc061a1","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198421581"
"Moreno A.B.; Fraguas J.B.","Moreno, Adolfo Baltar (57216868622); Fraguas, Javier Bernabé (57949227200)","57216868622; 57949227200","COMMUNITY CINEMA AS A STRATEGY AGAINST VIOLENCE IN LATIN AMERICA Experience in a Vulnerable Urban Periphery","2025","Street Art and Urban Creativity","11","2","","123","144","21","0","10.25765/sauc.v11.5725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008182277&doi=10.25765%2fsauc.v11.5725&partnerID=40&md5=c07c2ca307296dffc328778832e06b16","Article","Final","","Scopus","2-s2.0-105008182277"
"Vargas R.; Romero L.A.; Zhang S.; Marrugo A.G.","Vargas, Raul (57117284600); Romero, Lenny A. (36142156300); Zhang, Song (12761761100); Marrugo, Andres G. (24329839300)","57117284600; 36142156300; 12761761100; 24329839300","Calibration method based on virtual phase-to-coordinate mapping with linear correction function for structured light system","2024","Optics and Lasers in Engineering","183","","108496","","","","3","10.1016/j.optlaseng.2024.108496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201201922&doi=10.1016%2fj.optlaseng.2024.108496&partnerID=40&md5=a4440b20e5f0850e0bef6eb7a9ae97e3","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201201922"
"Valencia-González Y.; Alegría-Mejía L.N.; Barreto-Maya Á.P.; Bravo-Sierra S.; Arango-Aguilar J.P.","Valencia-González, Yamile (55427426100); Alegría-Mejía, Laura Natalia (59271245700); Barreto-Maya, Ángela Patricia (59269721500); Bravo-Sierra, Simón (59270224900); Arango-Aguilar, Juan Pablo (59270728600)","55427426100; 59271245700; 59269721500; 59270224900; 59270728600","Effect of void ratio on soil erodibility","2024","Case Studies in Chemical and Environmental Engineering","10","","100904","","","","0","10.1016/j.cscee.2024.100904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201510138&doi=10.1016%2fj.cscee.2024.100904&partnerID=40&md5=b46b33ddb41a5b9ba60b3d9fb8f0669a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201510138"
